"","id_jednostki","klasa_pr","sek","woj","zawod_kod2","waga","wolne_miejsca"
"4639","4f9331a629fbc5ebcdc065748f2498bcf6fa878f","D",2,24,8,1,5
"4640","e7f1867c2014163dc0848325311eabc16856fac1","D",2,24,3,1,6
"4641","e7f1867c2014163dc0848325311eabc16856fac1","D",2,24,7,1,5
"4642","471ac6e511cd0cec928501e4225169c9e97fa2a1","D",2,24,7,1,6
"4643","1a30152c425acfae59d5276260f4ab18963915ae","D",2,24,7,1,1
"4644","1a30152c425acfae59d5276260f4ab18963915ae","D",2,24,8,1,4
"4645","07e40fbed08d825b2749bb11179671bc1eabe54d","S",2,24,8,20,8
"4646","f585675480241868eb0a937380953420c3256d8f","D",2,24,2,1,4
"4647","f585675480241868eb0a937380953420c3256d8f","D",2,24,5,1,5
"4648","f585675480241868eb0a937380953420c3256d8f","D",2,24,7,1,4
"4649","f585675480241868eb0a937380953420c3256d8f","D",2,24,8,1,8
"4650","768040443b1807a0a58395586d1c6adf78fc6db0","D",1,24,5,1,9
"4651","110167d677a36702cd79c555fdc92436a40c5d92","M",2,24,9,32,3
"4652","2d84241ad40e91bfae2caf66a62eedaa2f426717","S",2,24,7,23,2
"4653","ee41abcda89841cdcb33b5aca07e5494c08a1a3b","D",1,24,2,1,6
"4654","ee41abcda89841cdcb33b5aca07e5494c08a1a3b","D",1,24,9,1,5
"4655","4d327fd530e07dbe4fab2ae4344b97fd36e503d5","D",2,24,8,1,7
"4656","e3f4a7f9aba145de597b3652d29ad91eac729e72","D",2,24,7,2,4
"4657","93a52a5ef3a75d7db78a418eba433fde5d124e7b","D",2,16,4,1,8
"4658","93a52a5ef3a75d7db78a418eba433fde5d124e7b","D",2,16,5,1,4
"4659","93a52a5ef3a75d7db78a418eba433fde5d124e7b","D",2,16,7,1,63
"4660","62c20cef0ec01f644afcb1ff46cea9245898bdf1","D",2,24,2,1,3
"4661","cb7495e7aee9e03d6573c5bb0ac8138872625738","D",2,24,1,1,5
