"","id_jednostki","klasa_pr","sek","woj","zawod_kod2","wolne_miejsca_cbop","jedna_zmiana"
"293","a01598fefa33875a4b7af61c30f3653df85cfd06","S",2,32,7,2,FALSE
"294","2919fec5ca9213db9b77d6155a1fdfb7f0729f71","S",2,12,5,1,TRUE
"295","94d2404bb4b4caaa335661508935ddac25e8e171","D",2,12,7,10,FALSE
"296","5cdc61dceae8466302716b17b94e255640d6bc13","D",2,12,5,1,FALSE
"297","71a49fdc8b2d76e89dedf60a983361e28684fff1","D",2,12,5,1,FALSE
"298","71a49fdc8b2d76e89dedf60a983361e28684fff1","D",2,12,5,1,TRUE
"299","221f061dc8f43513756c3dcdcd2f2b079aa500fc","S",2,12,5,1,FALSE
"300","6d7cdc26fdfbbd5d0f0f5cef6bcd8c78c6f24be9","D",2,12,5,3,FALSE
"301","13973585354c62269def67389632822e679d01a4","S",2,12,5,2,FALSE
"302","2ea120667ea02227e6568ffb2fabd6d7070c98ef","D",2,12,5,1,FALSE
